label,x_centroid,y_centroid,area,integrated_intensity,intensity_uncertainty,ellipticity,elongation,snr_approx
198,3858.772361769251,513.6453896524508,99.0,13.58181982428253,0.05589495058998696,0.305056572364065,1.4389660513832174,242.98831434543894
199,4408.91321200407,515.706465432248,128.0,18.807062555831006,0.06314427075310212,0.20669814343861503,1.2605542161902414,297.84273904069215
200,764.2501699772511,515.3098783410123,62.0,3.9981337775671166,0.03150510763988601,0.42875485467594554,1.7505619228198828,126.90430463742997
201,5127.915394354108,512.9031228051583,27.0,2.026253504450038,0.02615964557239778,0.4230877722705785,1.7333659297459223,77.45722314326878
202,396.718205025884,519.1562191960282,127.0,12.743959685647287,0.04672217607051035,0.38088121350757753,1.6151989276006877,272.7604053889711
203,585.9430954872587,522.6901531184693,285.0,53.93721700764848,0.07392090849536377,0.4087399220301562,1.6913030953038626,729.6611757826455
204,3371.013774943306,519.6092388117706,84.0,10.319353291086307,0.05146447278274142,0.23241857291836532,1.3027933776381575,200.51411649837976
205,2196.215634611952,521.727369929647,120.0,15.377756603383288,0.05124287351392736,0.22424112155902265,1.289060335357907,300.0955166810415
206,1551.3725904069886,528.1833092507122,166.0,22.13720423533041,0.05417762723100167,0.30617669040279216,1.44128913826856,408.6041668259514
207,2273.386136045272,528.3948942966634,29.0,1.9133750822377706,0.025807770021013286,0.2705974119807065,1.370984990217157,74.13949677480295
208,3323.2959943526625,530.0094042833083,48.0,4.823728580083964,0.039490853290914105,0.3126216950879833,1.4548029707280308,122.14799575358347
209,3931.6919977937055,533.1651974995094,147.0,24.355496943931062,0.0671388219937136,0.22419488914858965,1.2889835166238415,362.7632451789449
210,3828.437638233345,536.214551637519,125.0,16.918940723810064,0.062196837279277724,0.17310437804499135,1.2093424773924004,272.0225250013957
